公司,公司行业,经验学历,职位,工资,位置,公司描述,职位描述（大概）,福利（大概）,福利待遇（详细）,职位描述,公司介绍
杰欣园艺景观,其他行业,1年以内大专,电商运营,4-5K,嘉兴·南湖区,其他行业未融资20-99人,"站外推广
搜索优化
跨境电商运营
B2B平台
网络社交平台",,,负责B2B平台，谷歌，社交平台等网络平台的运营和推广。,嘉兴杰欣园艺景观有限公司成立于2011年，是一家业务覆盖园林景观用品设计，花箱护栏等户外产品制造，物联网技术，生物科技等多个领域的高新技术企业。公司坐落于长江三角洲杭嘉湖平原腹心地带，红色旅游圣地-嘉兴， 占地面积30公顷， 现有厂房面积13000平方米，具备年产5万套花箱，2万米金属护栏的生产能力
繁锦园艺,电子商务,不限中专/中技,淘宝客服,3-8K,金华,电子商务0-20人,"电商客服
在线客服
淘宝客服
主播",,,帮助回复信息，帮助主播,
森益达园艺,环保,不限本科,项目负责人,5-6K,南京·玄武区,环保未融资20-99人,"项目管理者
监理单位
建设单位
园林绿化
园林类",,,园林绿化项目负责人是受企业法定代表人委托对施工过程全面负责，具备园林相关专业技术职称或从事园林绿化经营管理满3年的项目管理者1、参加单位园林工程图纸会审，负责现场施工图纸变更的实施，及签证工作。2、参加编制施工设计，制定各项施工方案和施工技术措施。3、在开工前写好部分项施工技术交底，安全交底。与施工员一道保证质量与技术等4、负责搞好材料试验和管理控制工作。5、加强与建设单位、设计单位、质检单位和监理单位的联系，及时办理好与上述单位发生的签证工作确保施工顺利进行。6、编制材料计划，收集整理交工验收所需的各项技术资料，负责工程档案整理并移交有关单位。7、积极主动的完成分管工作，积极参加业务学习，认真及时完成领导交办的其他任务,江苏森益达园艺科技有限公司简介江苏森益达科技有限公司成立于2014年8月，注册资金1000万元整，是一家集城市公园广场、街道、小区、大型企业、学校庭院绿地、园林建筑、园林小品（喷泉⛲️、假山、雕塑）等设计及施工🚧。风景区、森林公园、农业休闲公园等规划设计及施
卉丰园艺,学术/科研,1年以内大专,组培室技术员，花木/花卉养殖技术员。,3-5K·13薪,信阳,学术/科研未融资20-99人,"操作技术
设计流程
设计及施工
培训
质量把控",,,试用期工资2500元，3个月转正后3000-5000元加绩效奖金加年终奖金,
金叶云园艺,工程施工,1-3年本科,园林景观设计师,5-8K,武汉,工程施工A轮0-20人,"SU
景观方案设计
沟通经验
PPT制作
园林景观设计师",年终奖，全勤奖，加班补助,加班补助全勤奖年终奖,成熟的私家花园景观方案设计，熟练使用SU，气质佳，具备一定的方案沟通经验以及PPT制作讲解能力。,武汉市金叶云园艺有限公司成立于2014年，前身为江夏区安山镇金叶云苗圃养护中心（2003年成立），16年来，金叶云园艺人一直专注于私家花园设计施工养护全系列服务，发展历程中，公司先后借用城乡规划编制甲级设计资质、城市园林绿化二级资质，承担过小区绿化、道路绿化等大型园林工程。武汉三镇均有项目部办公，自
特美家园艺,批发/零售,1-3年高中,淘宝客服,3-4K,宿迁,批发/零售0-20人,"售后客服
淘宝客服",,,淘宝客服售后客服认真负责,
芃然园艺,工程施工,3-5年大专,景观施工员,7-9K,杭州·余杭区,工程施工未融资0-20人,"施工员
土建工程
景观园林工程
品质管控
别墅景观",五险一金,五险一金,1、现场放样、组织管理，做好项目质量、进度、成本管理，记录、分析现场问题，并解决，高标准实现景观效果；2、熟悉私家花园施工流程，掌握木工、泥水等技术要点和重点，熟悉CAD等软件，能够画施工图、竣工图；3、有汽车驾驶证，适应户外作业，责任心强，吃苦耐劳，团结合作。,公司成立于2017年3月，创始人2007年毕业于浙江林学院（现为浙江农林大学），在知名企业就职十余年。专业从事花园、屋顶、立体绿化景观设计、施工、养护，花卉、绿植销售、租赁，以及农庄、苗圃规划咨询服务。
繁沐园艺,其他行业,不限本科,实习生,1-3K,上海·徐汇区,其他行业未融资0-20人,"SketchUp
文本排版
绘图软件
CAD
photoshop软件",节日福利，餐补，带薪年假，员工旅游，定期体检，全勤奖，零食下午茶，五险一金，年终奖,五险一金定期体检全勤奖年终奖带薪年假员工旅游餐补节日福利零食下午茶,工作内容 1.项目现场的勘测2.配合主按设计师完成辅助性事务，如建模，彩屏制作，文本排版等 3.项目现场的跟踪管理要求1.乐于学习，吃苦耐劳，积极向上2.熟悉各相关绘图软件3.有团队合作精神，乐观开朗4.有相关别墅庭院景观设计经验者优先,梵花园是一家由英国留学归国设计师领导的，致力于国内外高端私宅花园设计与施工一体的高端别墅花园设计公司。梵花园于2016年在上海成立，并在南京设立分公司，项目辐射范围在江浙沪一带。公司追求匠心的设计，融入国际化的设计理念和审美品位，以打造一流的设计品牌为目的。
好绿友园艺,电子商务,3-5年高中,淘宝运营,6-12K,惠州,电子商务未融资20-99人,"店铺运营
运营数据
网店装修
淘宝运营
推广营销",节日福利，加班补助，提成，年终奖，五险一金，全勤奖,五险一金加班补助全勤奖年终奖节日福利提成,1、负责阿里巴巴淘宝整体运营，运营团队的日常工作管理2、带领团队完成公司制定的业绩目标，规划提升品牌的知名度和影响力3、负责制定营销战略规划和网络广告的投放，并做好营销费用的预算和数据统计分析4、分解并下达电子商务部年度、季度、月度的业绩目标、流量目标、转化率目标等，实施策略规划，并监督管理执行5、挖掘客户需求，对客户体验进行优化，包括网店装修、编辑等提出优化方案和改进建议6、熟悉淘宝各类活动，跟进淘宝网的各种官方推广活动的执行，配合淘宝网小二力争最佳活动效果7、数据统计分析，认证完成运营月报、周报表8、负责部门的沟通协作，负责运营团队人员的工作安排，人员培训提升、考核9、关注淘宝及类目各项规则调整，关注研究同类产品、同各行业的宣传推广方式,惠州市好绿友园艺有限公司成立于2015年4月，注册资金498万，是惠州知名的家庭园艺企业，集科研，生产，育植，线上线下销售一体的从事花卉新品种，新技术引进和产品多元化开发的园艺一站式服务新型企业。公司在园艺领域涉生产，包装，销售和配送为一体的各类目花卉种子，蔬菜种子，营养肥土肥料，花盆花架，种植工具
广州怡华园艺有限公司,农/林/牧/渔,不限硕士,技术支持/研发员,6-10K,广州·花都区,农/林/牧/渔未融资100-499人,"项目申报
能力强
责任心强
新项目
沟通能力",员工旅游，通讯补贴，免费班车，年终奖，交通补助，包吃，餐补，补充医疗保险，五险一金，节日福利,五险一金补充医疗保险年终奖员工旅游免费班车餐补通讯补贴交通补助包吃节日福利,1. 研发花卉新项目或新产品及项目、产品的生产化；2. 协助项目申报及课题验收；3. 协助相关产品专利技术的开发；任职要求:1.农学、园艺、植保、土壤肥料、植物营养等相关专业，优秀毕业硕士生及211、985本科以上学历；2.有收集信息的能力和实验基础，有创新和钻研精神，学习能力强；3. 工作认真严谨，责任心强，观察能力强，沟通能力较强；4. 有团队合作精神和服务意识，能迅速融入新环境；,广州市怡华园艺有限公司成立于2001年，是由原广州园林研究所副所长李虬先生创立的在花卉行业极其权威的广州花都先锋园艺有限公司与全球著名的跨国育种公司德国DUMMEN公司合资成立。 主要从事无性系花卉新品种的引进和推广、种苗标准化生产和销售等，其产品销往全国各地并出口东亚、东南亚地区 2016
萧山荣水园艺,工程施工,5-10年不限,园林绿化现场带班,6-7K,赣州,工程施工不需要融资0-20人,"现场放样
市政园林绿化
熟悉现场
环境
内容",,,工作内容 1：带工人在市政园林绿化做种树、养护等工作。 2：负责考勤，纪律。 3：适当懂一些绿化现场放样和图纸。要求1：熟悉现场环境，对乔灌木栽培成活有自己心得，经验。2：有自己绿化工人队伍者优先考虑。3：服从项目经理管理，对带领工人有成熟经验。,
温州益光园艺文化,农/林/牧/渔,1-3年大专,客服,5-10K,温州,农/林/牧/渔未融资20-99人,"在线客服
电话客服
售后客服
电子商务
网上销售",年终奖，加班补助，全勤奖,加班补助全勤奖年终奖,<p>公司主要经营盆景盆栽（松、柏、枫、杜鹃等）、花卉的网上销售，盆景园在水库边上，山水环绕，花鸟相伴，环境非常优美。工作内容：1、接受客户咨询，记录客户咨询、投诉内容，按照相应流程给予客户反馈;2、能及时发现来电客户的需求及意见，并记录整理及汇报。3、为客户提供完整准确的方案及信息，解决客户问题，提供高质量服务;4、与同事或主管共享信息，进行知识积累，提供流程改善依据;5、一站式解决客户需求，为客户提供全套咨询试用期一个月，工资4000-10000不等，根据个人能力和工作表现而定，一年后有五险一金工作时间： 8：00-11:30 13:00-17：30 （单休）,温州益光园艺文化有限公司是一家盆景生产、制作、销售一条龙的实体企业。公司旗下有综合性实体园圃 “益光园”，上世纪80年代由邱益光先生初创于温州郭溪梅园，2016年迁至郭溪底岙村，渊源深厚，历久弥新，为益光盆景文化本底之所在。益光园位于山谷之中，
呈润园艺,农/林/牧/渔,3-5年中专/中技,养护主管，,4-6K,苏州·昆山市,农/林/牧/渔未融资20-99人,"项目管理
绿化养护
实操技能
园区绿化
管理",五险一金,五险一金,熟练管理园区绿化工作，解决绿化养护服务相关问题。实操技能过关。,我公司是以景观工程为主，绿化养护项目为配套服务的综合性景观绿化服务公司。合作的公司有华润置地、旭辉集团、高地物业、金茂物业、港城集团等各大公司。年营业额5000万左右。
